Date,SPY,EFA,EEM,IEF,LQD,GLD,VNQ,DBC
2007-01-03,98.86949920654297,41.088050842285156,25.69261932373047,49.96086120605469,48.886474609375,62.279998779296875,34.298194885253906,19.33003044128418
2007-01-04,99.07928466796875,40.970664978027344,25.337827682495117,50.14216995239258,49.25390625,61.650001525878906,34.34264373779297,18.82647705078125
2007-01-05,98.28899383544922,40.35581588745117,24.597000122070312,49.97898864746094,49.221717834472656,60.16999816894531,33.70668411254883,18.76150131225586
2007-01-08,98.74360656738281,40.41171646118164,24.775503158569336,50.01528549194336,49.207977294921875,60.47999954223633,33.75559616088867,18.858959197998047
2007-01-09,98.65968322753906,40.450843811035156,24.222126007080078,50.003211975097656,49.2171516418457,60.849998474121094,34.18254852294922,18.69652557373047
2007-01-10,98.9884033203125,40.14341735839844,24.166322708129883,49.918582916259766,49.152870178222656,60.59000015258789,34.62283706665039,18.420385360717773
2007-01-11,99.4220199584961,40.400535583496094,24.4720458984375,49.78562927246094,49.001304626464844,60.630001068115234,35.072025299072266,18.396018981933594
2007-01-12,100.17732238769531,40.858882904052734,24.969640731811523,49.68291473388672,48.95075607299805,62.16999816894531,35.18321228027344,18.82647705078125
2007-01-16,99.98146057128906,40.80855941772461,25.058897018432617,49.77961730957031,49.00590133666992,61.970001220703125,35.68131637573242,18.396018981933594
2007-01-17,100.02347564697266,40.83091354370117,24.954021453857422,49.68291473388672,48.936988830566406,62.63999938964844,35.6679801940918,18.558452606201172
2007-01-18,99.68777465820312,40.691192626953125,24.690711975097656,49.749412536621094,49.07938003540039,62.2599983215332,35.623504638671875,18.3635311126709
2007-01-19,99.8836441040039,41.18865203857422,25.134765625,49.67081832885742,49.051795959472656,63.0,35.97929763793945,18.63967514038086
2007-01-22,99.57586669921875,40.981842041015625,25.10576057434082,49.76148986816406,49.08396530151367,62.720001220703125,35.67687225341797,18.655916213989258
2007-01-23,99.86956787109375,41.34516525268555,25.677003860473633,49.61642074584961,48.95075607299805,64.2300033569336,35.84586715698242,19.24881362915039
2007-01-24,100.67387390136719,41.61344528198242,25.900146484375,49.62244415283203,48.97373962402344,64.33000183105469,36.31285095214844,19.086376190185547
2007-01-25,99.4919204711914,40.9371223449707,25.10352897644043,49.429141998291016,48.81760025024414,64.05999755859375,36.53522491455078,18.91581916809082
2007-01-26,99.4009780883789,41.015380859375,25.257492065429688,49.423065185546875,48.78547286987305,64.16999816894531,36.655296325683594,19.151350021362305
2007-01-29,99.34508514404297,41.060089111328125,24.922779083251953,49.3868522644043,48.76247787475586,63.77000045776367,36.7753791809082,18.76150131225586
2007-01-30,99.86260986328125,41.339569091796875,25.308818817138672,49.43517303466797,48.831382751464844,64.22000122070312,36.95771408081055,19.28129768371582
2007-01-31,100.53397369384766,41.496070861816406,25.505178451538086,49.61642074584961,49.03804397583008,64.83000183105469,37.25125503540039,19.48434829711914
2007-02-01,101.13545227050781,41.842613220214844,25.817581176757812,49.58064651489258,49.018218994140625,65.22000122070312,37.39802169799805,19.4112491607666
2007-02-02,101.27532958984375,41.75877380371094,25.739486694335938,49.623111724853516,49.064334869384766,64.27999877929688,37.464725494384766,19.663026809692383
2007-02-05,101.30329895019531,41.6246223449707,25.7640323638916,49.677677154541016,49.1289176940918,64.30999755859375,37.464725494384766,19.598052978515625
2007-02-06,101.3312759399414,41.948814392089844,26.01842498779297,49.81718063354492,49.25803756713867,64.79000091552734,38.01620101928711,19.500591278076172
2007-02-07,101.55509948730469,42.06618881225586,25.917993545532227,49.92641067504883,49.327232360839844,64.62999725341797,38.81227111816406,19.265056610107422
