Strategy,Initial Turnover,Average Monthly Turnover,Annualized Turnover,Maximum Monthly Turnover
Equal Weight,1.0,0.026112327753152056,0.31334793303782466,0.10246026326187399
Inverse Volatility,1.0000000000000002,0.07742031029663152,0.9290437235595782,0.3557589494723514
Trend + Equal Weight,0.625,0.11321721154336993,1.358606538520439,0.5072952457382136
Trend + Inverse Volatility,0.7545489975388584,0.1449732827087801,1.7396793925053613,0.49842193038195837
