Strategy,CAGR,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Calmar Ratio,Annualized Turnover
Equal Weight,0.10165413549095104,0.11022525238864997,0.9366882085782964,-0.1800798391470685,0.5644948150355223,0.31334793303782466
Inverse Volatility,0.07276699785523832,0.09188246517771466,0.812320011512424,-0.18714809886814077,0.3888203956937221,0.9290437235595782
Trend + Equal Weight,0.069580968546741,0.06882601794052089,1.0140553638485548,-0.09517399007866167,0.7310922710000082,1.358606538520439
Trend + Inverse Volatility,0.0561737033219738,0.05714959820428455,0.9867024752626568,-0.08224669712846222,0.6829903848203818,1.7396793925053613
SPY Buy & Hold,0.17445281976945126,0.1662344328097437,1.0560974351942853,-0.23927158342098587,0.7290996167418285,
