Strategy,Legacy Gross CAGR,Execution Gross CAGR,Gross CAGR Delta,Legacy Gross Sharpe,Execution Gross Sharpe,Gross Sharpe Delta,Legacy Net CAGR,Execution Net CAGR,Net CAGR Delta,Legacy Net Annualized Volatility,Execution Net Annualized Volatility,Net Volatility Delta,Legacy Net Sharpe,Execution Net Sharpe,Net Sharpe Delta,Legacy Net Maximum Drawdown,Execution Net Maximum Drawdown,Net MDD Delta,Legacy Annualized Turnover,Execution Annualized Turnover,Turnover Delta,Net Monthly Return Correlation,Mean Absolute Net Monthly Return Gap,Maximum Absolute Net Monthly Return Gap
Equal Weight,0.10196929586076542,0.10293462185005486,0.000965325989289445,0.939262829693091,0.9435203995990452,0.004257569905954162,0.10165413114865474,0.10260556549454747,0.0009514343458927321,0.1102252629576665,0.11075833287539885,0.0005330699177323456,0.9366880918570868,0.9408492482634294,0.004161156406342625,-0.18007980219510977,-0.1685151966512335,0.011564605543876283,0.3133480722620542,0.32658195806851764,0.013233885806463452,0.9810822614986413,0.004648316515401612,0.02062238772047828
Inverse Volatility,0.07377584030088546,0.07394435135800981,0.0001685110571243431,0.8225065044387558,0.8434024670179417,0.02089596257918591,0.07276678560776206,0.0729307783326536,0.00016399272489153738,0.09188247586721542,0.08956171380118302,-0.002320762066032392,0.8123177634164515,0.8328893889508568,0.02057162553440539,-0.1871482545277383,-0.1758559441662525,0.011292310361485813,0.9290442390506222,0.936615337052848,0.0075710980022258845,0.9807865453396605,0.0038985374340843085,0.018222358649271873
Trend + Equal Weight,0.07102233643478884,0.06768136334732655,-0.0033409730874622845,1.0336659661631433,0.9863366489255648,-0.047329317237578494,0.06958093973811041,0.06624037385286807,-0.0033405658852423414,0.0688260073978031,0.06898274666487708,0.000156739267073977,1.0140551152635113,0.966492576936458,-0.04756253832705337,-0.09517412768133415,-0.11209339846912236,-0.01691927078778821,1.358606581234305,1.3635131478997629,0.0049065666654577456,0.9752592198645272,0.0030868552154570067,0.01602701753147432
Trend + Inverse Volatility,0.0580622391315877,0.05597790239110778,-0.0020843367404799196,1.0179117601864494,0.9942713317156314,-0.02364042847081793,0.056173584570546,0.05409030623400968,-0.0020832783365363206,0.05714958898715403,0.056499969692742014,-0.0006496192944120197,0.9867006501717044,0.9623690610866487,-0.024331589085055727,-0.08224670530020761,-0.07899770588854416,0.0032489994116634557,1.7396797338843566,1.7430710747326743,0.0033913408483177143,0.9738947165215074,0.002701035255758996,0.010356540466019894
