,OOS Sharpe,OOS Maximum Drawdown
Equal Weight,0.9366882085782964,-0.1800798391470685
Inverse Volatility,0.812320011512424,-0.18714809886814077
Trend + Equal Weight,1.0140553638485548,-0.09517399007866167
Trend + Inverse Volatility,0.9867024752626568,-0.08224669712846222
